order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD_0000001,1,PROD_00110,SELL_0008,2023-12-06 08:33:29,199.1,9.62
ORD_0000002,1,PROD_00095,SELL_0004,2023-06-06 04:36:37,26.29,18.73
ORD_0000002,2,PROD_00060,SELL_0027,2023-06-10 04:36:37,12.78,5.4
ORD_0000002,3,PROD_00193,SELL_0037,2023-06-05 04:36:37,269.29,36.73
ORD_0000003,1,PROD_00004,SELL_0004,2025-03-11 03:50:18,220.22,15.0
ORD_0000003,2,PROD_00015,SELL_0003,2025-03-13 03:50:18,68.15,12.22
ORD_0000003,3,PROD_00090,SELL_0019,2025-03-12 03:50:18,190.66,40.62
ORD_0000004,1,PROD_00123,SELL_0005,2024-05-03 01:11:17,169.53,31.26
ORD_0000005,1,PROD_00053,SELL_0023,2024-02-19 01:25:56,96.66,34.41
ORD_0000005,2,PROD_00114,SELL_0050,2024-02-22 01:25:56,362.3,42.66
ORD_0000005,3,PROD_00075,SELL_0018,2024-02-20 01:25:56,350.21,14.77
ORD_0000006,1,PROD_00129,SELL_0027,2023-12-19 09:19:17,98.45,18.87
ORD_0000007,1,PROD_00125,SELL_0009,2023-11-10 23:28:49,126.32,13.14
ORD_0000007,2,PROD_00060,SELL_0008,2023-11-08 23:28:49,23.86,27.12
ORD_0000007,3,PROD_00186,SELL_0016,2023-11-11 23:28:49,330.22,10.68
ORD_0000008,1,PROD_00196,SELL_0032,2025-04-25 13:47:31,96.21,9.57
ORD_0000009,1,PROD_00151,SELL_0006,2023-06-14 02:19:45,143.7,38.09
ORD_0000010,1,PROD_00157,SELL_0025,2023-07-30 01:15:02,143.62,5.75
ORD_0000011,1,PROD_00058,SELL_0028,2024-01-19 14:32:25,49.09,12.38
ORD_0000012,1,PROD_00079,SELL_0002,2024-04-07 05:55:30,33.61,35.52
ORD_0000013,1,PROD_00087,SELL_0049,2023-09-28 23:53:44,139.18,41.3
ORD_0000013,2,PROD_00056,SELL_0040,2023-09-27 23:53:44,192.95,18.64
ORD_0000014,1,PROD_00187,SELL_0007,2023-08-21 20:14:43,280.36,35.1
ORD_0000014,2,PROD_00100,SELL_0019,2023-08-21 20:14:43,57.53,42.3
ORD_0000015,1,PROD_00147,SELL_0017,2025-03-13 21:00:30,222.79,35.76
ORD_0000016,1,PROD_00120,SELL_0009,2023-11-11 22:45:41,228.78,41.99
ORD_0000016,2,PROD_00072,SELL_0006,2023-11-12 22:45:41,146.93,43.04
ORD_0000016,3,PROD_00198,SELL_0026,2023-11-11 22:45:41,45.71,18.5
ORD_0000017,1,PROD_00093,SELL_0042,2023-09-22 06:29:19,78.16,15.02
ORD_0000018,1,PROD_00079,SELL_0017,2024-01-22 17:41:38,181.32,17.84
ORD_0000019,1,PROD_00005,SELL_0023,2023-12-16 08:40:20,30.88,23.66
ORD_0000020,1,PROD_00143,SELL_0006,2023-03-04 19:25:42,102.78,7.34
ORD_0000021,1,PROD_00142,SELL_0012,2023-11-03 08:58:26,24.33,7.56
ORD_0000021,2,PROD_00197,SELL_0032,2023-11-02 08:58:26,321.09,15.38
ORD_0000022,1,PROD_00045,SELL_0004,2025-01-16 22:14:43,90.51,29.72
ORD_0000023,1,PROD_00010,SELL_0029,2024-06-09 09:54:10,149.37,25.27
ORD_0000024,1,PROD_00142,SELL_0046,2025-04-11 17:48:58,45.3,7.43
ORD_0000025,1,PROD_00005,SELL_0023,2023-04-08 07:22:14,43.28,39.3
